lat,lon,depth,Jfix
23.0001,-19.31,300,0.0000365
23.0001,-19.31,1500,0.0000365
23.0001,-19.31,4000,0.0000365
23,-21.82,300,0.0000365
23,-21.82,750,0.0000365
23,-21.82,1500,0.0000365
23.0001,-25.9995,750,0.0000365
19.8994,-26.0004,1500,0.0000365
19.8994,-26.0004,4000,0.0000365
20.6996,-18.5699,21,0.0000365
19.681,-63.6701,220,0.000073
27.1681,-64.8632,80,0.000073
29.6833,-17.2881,80,0.000146
-35.5,-70.3,10,0.000146
8.1414,-90.3625,31,0.000146
-26.3677,-31.3955,110,0.000219
43.42,-8.44,20,0.0003285
1.666,-85.833,200,0.000365
-11.2252,-172.6452,71,0.000438
-15.3902,-29.003,140,0.0004745
-25.4842,-179.5215,52,0.0004745
-5.7424,-170.7571,60,0.000511
-18.1689,157.1919,40,0.000511
28.5,33.667,200,0.0005475
32.949,34.748,80,0.0005475
-10.0143,160.3578,101.4,0.00073
2.2336,-28.9994,60,0.0007665
23.0001,-25.9995,1500,0.0007665
10.75,-21.75,50,0.000876
9.9797,-29.0023,70,0.000949
29.1827,-28.9384,110,0.001022
23.0001,-25.9995,4000,0.001022
26.0005,-38.2651,5,0.0010585
25.9978,-29.8274,5,0.001095
22.75,-158,125,0.0011315
-18.5571,-175.8298,85,0.001168
19.681,-63.6701,150,0.0012775
-12.3493,-29.0203,140,0.0012775
21.4689,-23.4542,92,0.0012775
17.4274,-59.8286,90,0.0012775
25.9977,-25.7346,110,0.0012775
43.42,-8.44,40,0.001314
-18.1689,157.1919,160,0.0013505
-28.4363,-104.7483,90.034,0.001387
43.42,-8.44,70,0.0014235
0,-85.833,300.5,0.00146
-2,-85.833,250,0.00146
43.42,-8.44,20,0.0015695
34.67,22.62,2000,0.001679
19.6503,-54.6094,175,0.001752
-0.3343,-28.997,40,0.001752
0.08,-34.99,90,0.0017885
-4,-85.832,300,0.001825
37.6096,-74.2869,135,0.0018615
37.6096,-74.2869,135,0.0018615
-11.2252,-172.6452,5,0.0019345
38.96,19.69,1000,0.0019345
-4.8645,-29.0073,60,0.0020075
43.42,-8.44,40,0.0020075
-36,-76.9,50,0.002044
33.15,34.142,200,0.0020805
29.3,-36.7,115,0.0020805
21.22,-18.8355,8,0.0021535
1.0613,-166.8448,82,0.00219
43.42,-8.44,40,0.0022265
-18.2682,-159.9992,5.821,0.0022995
-16.5796,-28.996,150,0.002336
-4.8645,-29.0073,90,0.002409
33.15,34.142,130,0.002409
22.75,-158,100,0.0024455
25.9978,-29.8274,70,0.002482
25.6468,-29.0022,100,0.002482
40.412,-67.5805,5.4,0.0025915
40.412,-67.5805,5.4,0.0025915
